id,run_id,datetime,thought,target_x,target_y
1,1,2026-09-23 16:39:09.661015+00:00,move north,600.0,500.0
2,1,2026-09-23 16:39:13.241725+00:00,move north,600.0,500.0
3,1,2026-09-23 16:39:15.740169+00:00,move north,600.0,500.0
4,1,2026-09-23 16:39:18.027381+00:00,move north,600.0,500.0
5,1,2026-09-23 16:39:20.443725+00:00,move north,600.0,500.0
6,1,2026-09-23 16:39:24.935468+00:00,move north,600.0,500.0
7,1,2026-09-23 16:39:28.675354+00:00,move north,600.0,500.0
8,1,2026-09-23 16:39:33.073044+00:00,move north,600.0,500.0
9,2,2026-09-23 16:41:16.487874+00:00,move north,600.0,500.0
10,2,2026-09-23 16:41:20.819162+00:00,move north,600.0,500.0
11,2,2026-09-23 16:41:30.815675+00:00,move north,600.0,500.0
12,2,2026-09-23 16:41:33.351915+00:00,move north,600.0,500.0
13,2,2026-09-23 16:41:35.667181+00:00,move north,600.0,500.0
14,2,2026-09-23 16:41:42.369900+00:00,What to do in life?,5.0,10.0
15,2,2026-09-23 16:41:46.747752+00:00,What to do in life?,5.0,10.0
16,2,2026-09-23 16:41:49.348487+00:00,What to do in life?,5.0,10.0
17,2,2026-09-23 16:41:52.014120+00:00,What to do in life?,5.0,10.0
18,2,2026-09-23 16:41:54.612826+00:00,What to do in life?,5.0,10.0
19,2,2026-09-23 16:42:04.598781+00:00,you can't hide in a bottle!,959.0,421.0
20,2,2026-09-23 16:42:07.732195+00:00,you can't hide in a bottle!,959.0,421.0
21,2,2026-09-23 16:42:10.449423+00:00,you can't hide in a bottle!,959.0,421.0
22,2,2026-09-23 16:42:13.152833+00:00,you can't hide in a bottle!,959.0,421.0
23,2,2026-09-23 16:42:16.058498+00:00,you can't hide in a bottle!,959.0,421.0
24,2,2026-09-23 16:42:19.772766+00:00,i will be dead tomorrow,975.0,497.0
25,2,2026-09-23 16:42:22.737240+00:00,i will be dead tomorrow,975.0,497.0
26,2,2026-09-23 16:42:25.220736+00:00,i will be dead tomorrow,975.0,497.0
27,2,2026-09-23 16:42:27.876658+00:00,i will be dead tomorrow,975.0,497.0
28,2,2026-09-23 16:42:30.523773+00:00,i will be dead tomorrow,975.0,497.0
29,2,2026-09-23 16:42:36.969803+00:00,i will go in a corner,621.0,73.0
30,2,2026-09-23 16:42:40.001854+00:00,I will go towards a corner,621.0,73.0
31,2,2026-09-23 16:42:42.785586+00:00,i will go towards the corner,621.0,73.0
32,2,2026-09-23 16:42:45.137612+00:00,I will go toward a corner,621.0,73.0
33,2,2026-09-23 16:42:47.700579+00:00,i will go to the corner,621.0,73.0
34,2,2026-09-23 16:42:50.213150+00:00,i will go toward a corner,621.0,73.0
35,2,2026-09-23 16:42:54.705255+00:00,i will go towards a corner,621.0,73.0
36,2,2026-09-23 16:42:59.596787+00:00,I will go to a corner,621.0,73.0
37,2,2026-09-23 16:43:04.628998+00:00,i will go toward the corner,621.0,73.0
38,2,2026-09-23 16:43:09.395430+00:00,I will go towards the corner,621.0,73.0
39,2,2026-09-23 16:43:13.958376+00:00,I will go toward a corner,621.0,73.0
40,2,2026-09-23 16:43:18.698001+00:00,i will go toward a corner,621.0,73.0
41,2,2026-09-23 16:43:23.349483+00:00,i will go to the corner,621.0,73.0
42,2,2026-09-23 16:43:28.201587+00:00,I will go toward a corner,621.0,73.0
43,2,2026-09-23 16:43:33.036473+00:00,i will go towards a corner,621.0,73.0
44,2,2026-09-23 16:43:38.519935+00:00,i will go toward the corner,621.0,73.0
45,2,2026-09-23 16:43:43.646260+00:00,I will go towards the corner,621.0,73.0
46,2,2026-09-23 16:43:48.729948+00:00,I will go toward a corner,621.0,73.0
47,2,2026-09-23 16:43:53.295043+00:00,you will die today!,1094.0,780.0
48,2,2026-09-23 16:44:01.455908+00:00,you will die today!,1094.0,780.0
49,2,2026-09-23 16:44:04.650280+00:00,you will die today!,1094.0,780.0
50,2,2026-09-23 16:44:07.653981+00:00,you will die today!,1094.0,780.0
51,2,2026-09-23 16:44:10.430385+00:00,you will die today!,1094.0,780.0
52,2,2026-09-23 16:44:17.418677+00:00,What to do in life?,900.0,450.0
53,2,2026-09-23 16:44:22.239512+00:00,What to do in life?,900.0,450.0
54,2,2026-09-23 16:44:25.035994+00:00,What to do in life?,900.0,450.0
55,2,2026-09-23 16:44:27.904462+00:00,What to do in life?,900.0,450.0
56,2,2026-09-23 16:44:30.690756+00:00,What to do in life?,900.0,450.0
57,2,2026-09-23 16:44:36.368740+00:00,you can't hide in a bottle.,100.0,100.0
58,2,2026-09-23 16:44:43.560881+00:00,you can't hide in a bottle.,100.0,100.0
59,2,2026-09-23 16:44:46.452388+00:00,you can't hide in a bottle.,100.0,100.0
60,2,2026-09-23 16:44:49.771599+00:00,you can't hide in a bottle.,100.0,100.0
61,2,2026-09-23 16:44:53.389674+00:00,you can't hide in a bottle.,100.0,100.0
62,2,2026-09-23 16:44:57.374210+00:00,It is a game for small animals.,,
63,2,2026-09-23 16:45:01.927268+00:00,It is a game for small animals.,,
64,2,2026-09-23 16:45:04.852422+00:00,It is a game for small animals.,,
65,2,2026-09-23 16:45:07.660361+00:00,It is a game for small animals.,,
66,2,2026-09-23 16:45:10.796176+00:00,It is a game for small animals.,,
67,2,2026-09-23 16:45:19.110460+00:00,"It is a big, beautiful and amazing universe",100.0,100.0
68,2,2026-09-23 16:45:26.782045+00:00,"It is a big, beautiful and amazing universe",100.0,100.0
69,2,2026-09-23 16:45:30.074291+00:00,"It is a big, beautiful and amazing universe",100.0,100.0
70,2,2026-09-23 16:45:33.309899+00:00,"It is a big, beautiful and amazing universe",100.0,100.0
71,2,2026-09-23 16:45:36.616222+00:00,"It is a big, beautiful and amazing universe",100.0,100.0
72,2,2026-09-23 16:45:46.238351+00:00,i will go for my first breath,659.0,723.0
73,2,2026-09-23 16:45:50.135056+00:00,i will go for my first breath,659.0,723.0
74,2,2026-09-23 16:45:53.188676+00:00,i will go for my first breath,659.0,723.0
75,2,2026-09-23 16:45:56.216061+00:00,i will go for my first breath,659.0,723.0
76,2,2026-09-23 16:45:59.292033+00:00,i will go for my first breath,659.0,723.0
